CustomerID,CustomerName,Phone,Email,Address
91Aus,Austin Cantu,9791176864,thomasvalerie@collier.biz,Bangalore
77Tim,Timothy Palmer,9318892926,rmartinez@blackburn.com,switzerland
87Sco,Scott Griffin,8982749031,oferguson@gmail.com,switzerland
69And,Andrew Butler,9105747541,munozvalerie@vargas.com,Bangalore
35Jes,Jessica Stanley,9611905793,michellebailey@yahoo.com,switzerland
66Mar,Marcus Armstrong,9742293686,jennifervaughan@mullins-smith.com,London
27Rob,Robert Berger,9172823121,pmay@hotmail.com,Delhi
88Jer,Jerry Werner,9599195064,sstevens@hotmail.com,New York
97Jen,Jennifer Soto,9050522312,lisamitchell@gmail.com,Bangalore
87Aar,Aaron Thomas,8966685932,sarah90@gmail.com,London
50Kev,Kevin Owens,9939574614,kevinyu@hale.com,Delhi
80Ter,Teresa Morales,9501459385,nicolehowell@hotmail.com,Delhi
36Kay,Kayla Collins,9072415265,lisa10@yahoo.com,switzerland
54Sus,Susan Jenkins,9367641033,qmaxwell@gmail.com,London
75Pam,Pamela Walton,9266509589,laurenbranch@bauer.com,Patna
47Mr.,Mr. Christopher Taylor,9531971797,perezwillie@gmail.com,Patna
65And,Andrea Greene,9479791919,johnsonkim@martin.com,Delhi
85Tay,Taylor Dorsey,9133934786,ericblair@hotmail.com,Delhi
65Oli,Olivia Johnson,9536529863,cynthia69@combs.com,Dubai
58Dav,David Santana,8993637104,imartinez@flores-davis.com,Pune
62Kel,Kelly Foley,9186475353,james28@hotmail.com,London
62Bar,Barbara Logan,9652076145,jeremyarmstrong@yahoo.com,Bangalore
39Pat,Patricia Rocha,9012643531,elliottjill@yahoo.com,New York
59Kur,Kurt Cruz,9568096651,xwoods@yahoo.com,Bangalore
95Kri,Kristina Clark,8964088899,stewarttheresa@gmail.com,Patna
43Kev,Kevin Schneider,9583151057,kathryn65@hotmail.com,Dubai
62Ale,Alexandria Pace,9384668009,franklinjulia@hotmail.com,Bangalore
72Chr,Christopher Simon,9421686524,seanrodriguez@gmail.com,Dubai
27Bri,Brian Moore,9959359351,lthompson@gmail.com,New York
31Sea,Sean Best,9711653565,christyharris@hotmail.com,Bangalore
64Ste,Stephanie Leon,9072034596,ericreynolds@yahoo.com,Dubai
99Kri,Kristen Hicks,9192791217,lisanoble@brown-fisher.com,Dubai
62Nic,Nicole Adams,9837501946,kimberly04@myers.com,switzerland
62Dan,Dana Morrison,9967834804,kristenlawrence@hardy.net,Delhi
99Bet,Beth Miller,9779050878,contreraschristina@lara.biz,New York
29Sha,Shawn Garcia,9444113261,williamwalsh@palmer-montoya.com,switzerland
99Ken,Kenneth Henry,9187815480,yatesjennifer@yahoo.com,Pune
38Lee,Lee Smith,9181190835,robert24@patton.org,Patna
86Kat,Kathryn Black,9042737892,bakerroberto@gmail.com,Sweden
92Kar,Karen Gonzalez,9666968951,jessicaarcher@williams.biz,New York
60Bre,Brent Carrillo,9713465431,robin05@sandoval.com,New York
28Tin,Tina Espinoza,9108737138,sallyanderson@hotmail.com,Dubai
86Joh,John Huang,9511799888,dcrawford@olsen-young.com,Dubai
67Kar,Karina Lambert,9453753486,richardjones@collier.com,Sweden
93Ale,Alexander Bender,9497198425,baileyalvin@hotmail.com,Sweden
62Mic,Michael Hart,9850491173,leediana@pena.com,Bangalore
73Bri,Brittany Moore,9966836913,john55@gmail.com,Dubai
44Sar,Sarah Carlson,9622300820,josephalvarado@yahoo.com,Delhi
23Jon,Jonathan Powell,9712640128,vlee@cole-long.com,Pune
